url,actors,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/26784895/,"[""李沁颖"", ""张思绮"", ""Zilai Feng""]",67,"[""Zilai Feng""]","[""动画""]",6.3,不存在的人,(2016),{}
https://movie.douban.com/subject/26382849/,"[""许晴"", ""车晓"", ""华少"", ""陈武康"", ""屈中恒"", ""唐从圣""]",1100,"[""丁乃筝""]","[""喜剧"", ""爱情""]",4.4,恋爱排班表,(2015),{}
https://movie.douban.com/subject/26683679/,"[""姚晨"", ""马思纯"", ""陈坤"", ""杨子姗"", ""胡歌"", ""杨幂"", ""王千源"", ""大鹏"", ""陈瑾"", ""冯小刚""]",892,"[""李霄峰"", ""李睿珺"", ""杨庆"", ""韩延""]","[""短片""]",7.1,2015最美表演,(2015),{}
https://movie.douban.com/subject/5997849/,"[""杨亮俞"", ""谢明诠"", ""管运龙"", ""阎永恒"", ""瑶涵沂"", ""今子嫣"", ""郑人硕"", ""高水莲""]",908,"[""张作骥""]","[""剧情"", ""家庭"", ""儿童""]",7.3,暑假作业 暑假作業,(2013),{}
https://movie.douban.com/subject/26003900/,"[""姜老刀""]",858,"[""姜老刀""]","[""纪录片"", ""短片""]",8.8,日食记 第二季,(2014),{}
https://movie.douban.com/subject/24736272/,"[""金起范"", ""赵丽颖"", ""朱梓骁"", ""陈昱霖"", ""廖碧儿"", ""许明虎"", ""王海祥"", ""徐冬梅"", ""王艺博"", ""张晓晨""]",505,"[""元德""]","[""喜剧"", ""爱情"", ""古装""]",5.3,吉祥天宝,(2016),{}
https://movie.douban.com/subject/26309061/,"[""张彬彬"", ""王萌黎"", ""金泽灏"", ""李川"", ""隋咏良"", ""尤靖茹"", ""余玥""]",972,"[""李远"", ""韩天""]","[""剧情"", ""爱情""]",4.0,匆匆那年：好久不见,(2015),{}
https://movie.douban.com/subject/10543682/,"[""郑昊"", ""小彩旗"", ""阚清子"", ""贾伟""]",3072,"[""王松""]","[""悬疑"", ""惊悚""]",2.9,怖偶,(2014),{}
https://movie.douban.com/subject/26430411/,"[""佟大为"", ""黄志忠"", ""袁姗姗"", ""刘芸"", ""左溢"", ""佟梦实"", ""宋妍霏"", ""葛洧吟"", ""高旻睿"", ""史文翔"", ""袁雨萱"", ""万国鹏"", ""邢菲"", ""邵明明"", ""吕绍聪""]",1697,"[""徐晴""]","[""真人秀""]",5.0,一年级·大学季,(2015),{}
https://movie.douban.com/subject/26840300/,"[""娄淇"", ""杨凯迪"", ""谢波"", ""吴荻"", ""杨迪"", ""金晶"", ""杜旭东""]",310,"[""李凯""]","[""恐怖"", ""奇幻""]",2.9,食人岛,(2016),{}
https://movie.douban.com/subject/25778488/,"[""王珞丹"", ""周渝民"", ""任达华"", ""鲍起静"", ""天心"", ""石修"", ""邵美琪""]",18488,"[""彭顺""]","[""喜剧"", ""爱情"", ""悬疑""]",4.1,宅女侦探桂香,(2015),{}
https://movie.douban.com/subject/5151962/,"[""蔡康永"", ""徐熙娣"", ""陈汉典""]",8707,"[""王伟忠"", ""陈彦铭"", ""詹仁雄""]","[""脱口秀""]",9.2,康熙来了 康熙來了,(2004),{}
https://movie.douban.com/subject/26725143/,"[""马诺"", ""刘依桐"", ""杨松浦""]",,"[""史申豪""]",[],,唐人街杀人魔,(2016),{}
https://movie.douban.com/subject/1298619/,"[""阮玲玉"", ""黎莉莉"", ""袁丛美""]",781,"[""孙瑜""]","[""剧情"", ""战争""]",8.0,小玩意,(1933),{}
https://movie.douban.com/subject/26088457/,"[""霍建华"", ""马思纯"", ""张鲁一"", ""王凯"", ""尹正"", ""章龄之"", ""刘奕君"", ""尹子维"", ""曹苑"", ""张昊唯"", ""岳旸"", ""霍亚明"", ""崔心心"", ""郭晓然"", ""铁政"", ""王永泉"", ""孙梦佳""]",24609,"[""张开宙""]","[""剧情"", ""爱情"", ""悬疑""]",6.2,他来了，请闭眼,(2015),{}
https://movie.douban.com/subject/25723093/,"[""王传一"", ""李妍憬"", ""张静之"", ""窦智孔"", ""史黛西"", ""黄镫辉"", ""黄仲昆"", ""吴朋奉"", ""喜翔"", ""楼学贤"", ""颜正国"", ""琇琴"", ""丁宁"", ""施名帅"", ""张再兴"", ""吴念真"", ""柯一正"", ""李程彬"", ""胡鸿达"", ""王书乔"", ""徐灏翔"", ""孙歆艾"", ""林可唯"", ""张明兴"", ""陈诗颖"", ""苏品杰"", ""古逸隆"", ""高玉霖"", ""陈素珍"", ""钟彩轩"", ""陈淑芳"", ""程学贤"", ""郑志伟"", ""温吉兴"", ""陈晓菁"", ""萧可緁"", ""王慈薇"", ""施柏全"", ""许孟哲""]",602,"[""游坚煜"", ""李权峰""]","[""动作"", ""犯罪""]",5.2,黑白,(2016),{}
https://movie.douban.com/subject/26200627/,"[""吴镇宇"", ""余男"", ""金汎"", ""娜扎"", ""任达华"", ""惠英红"", ""张雪迎"", ""王宗泽"", ""姜武"", ""牛犇"", ""鲁园""]",2762,"[""牛朝阳""]","[""喜剧"", ""爱情""]",3.5,爱我就陪我看电影,(2015),{}
https://movie.douban.com/subject/10558422/,"[""殷明珠"", ""吴文超"", ""夏佩珍"", ""蒋梅康"", ""周鸿泉"", ""詹嘉利"", ""贺蓉珠"", ""但二春""]",554,"[""但杜宇""]","[""鬼怪""]",8.2,盘丝洞,(1927),{}
https://movie.douban.com/subject/26766405/,"[""曹斐然"", ""李峥"", ""李奔""]",663,"[""姜军""]","[""悬疑"", ""惊悚"", ""恐怖""]",2.5,死亡笔记,(2016),{}
https://movie.douban.com/subject/1292968/,"[""路易丝·赖纳"", ""保罗·穆尼"", ""沃尔特·康诺利""]",531,"[""西德尼·富兰克林""]","[""剧情"", ""爱情""]",8.2,大地 The Good Earth,(1937),{}
https://movie.douban.com/subject/26716394/,"[""乔子涵"", ""郑旭东"", ""刘严颖"", ""焦晨"", ""汪大雄""]",,[],[],,昨日重现之舍命情缘,(2016),{}
https://movie.douban.com/subject/26653371/,"[""姚笛"", ""吴卓羲"", ""任重"", ""李岷城"", ""种丹妮"", ""石修"", ""隋咏良"", ""游游"", ""亦涵"", ""李勤勤"", ""王伯昭""]",345,"[""苏万聪""]","[""剧情"", ""爱情""]",5.6,结婚为什么,(2016),{}
https://movie.douban.com/subject/26362746/,"[""吴秀波"", ""贾玲"", ""吴君如"", ""小沈阳"", ""宋小宝"", ""沈腾"", ""李菁"", ""俞白眉"", ""代乐乐"", ""梁超"", ""杨金赐"", ""乔杉"", ""修睿"", ""高晓攀"", ""马丽"", ""刘仪伟"", ""张小斐""]",5547,"[""施嘉宁""]","[""脱口秀""]",8.1,欢乐喜剧人 第一季,(2015),{}
https://movie.douban.com/subject/26322805/,"[""经超"", ""艾晓琪"", ""梁大维"", ""禹童 Tong Yu"", ""章劼"", ""王修泽"", ""陆洋"", ""郭京飞"", ""李岷城""]",2054,"[""周琳皓""]","[""科幻""]",7.1,执念师 第一季,(2015),{}
https://movie.douban.com/subject/26756987/,"[""任明生"", ""李庆祥"", ""韦玮"", ""刘芳毓"", ""李丞峰"", ""卢海华"", ""李一凡"", ""白燕忠""]",,"[""鹿峰"", ""史卫强""]","[""剧情"", ""战争""]",,三打三捷,(2016),{}
https://movie.douban.com/subject/26438799/,"[""李凤绪"", ""杨小米"", ""李金哲"", ""邱禹程"", ""毛韩奕"", ""方一舟"", ""陈瑞加"", ""赵贶"", ""林益柏"", ""韩继庆""]",82,"[""占俊科""]","[""剧情""]",2.7,雏鸟的天空,(2016),{}
https://movie.douban.com/subject/3060442/,"[""贾丽娜"", ""滕奎兴"", ""张文渔"", ""曹玉敏"", ""郝琳杰"", ""刘海霞"", ""刘莉"", ""徐琳"", ""佟春光""]",842,"[""王川""]","[""动画""]",9.3,小明和王猫,(2000),{}
https://movie.douban.com/subject/25955372/,"[""芦芳生"", ""杨采钰""]",5026,"[""霍建起""]","[""爱情""]",6.3,1980年代的爱情,(2015),{}
https://movie.douban.com/subject/26709253/,"[""王震宇""]",,"[""王禹""]",[],,灵魂速递,(2016),{}
